S.No,Name,Address,Latitude,Longitude,Website,Type,Stream,Branch,Course,District,Code,Zone,State
4097,Sureya College of Engineering,"Somu Nagar, Konalai, Tiruchirapalli(Dt.),Pin621132",11,78.77,www.sureyacollegeofengineering.ac.in,Self Finance,Engineering,Civil,Civil Engineering,Tiruchirappalli,TC,TN Central,Tamil Nadu
4098,Sureya College of Engineering,"Somu Nagar, Konalai, Tiruchirapalli(Dt.),Pin621132",11,78.77,www.sureyacollegeofengineering.ac.in,Self Finance,Engineering,Computer Science,Computer Science and Engineering,Tiruchirappalli,TC,TN Central,Tamil Nadu
4099,Sureya College of Engineering,"Somu Nagar, Konalai, Tiruchirapalli(Dt.),Pin621132",11,78.77,www.sureyacollegeofengineering.ac.in,Self Finance,Engineering,Electrical,Electrical and Electronics Engineering,Tiruchirappalli,TC,TN Central,Tamil Nadu
4100,Sureya College of Engineering,"Somu Nagar, Konalai, Tiruchirapalli(Dt.),Pin621132",11,78.77,www.sureyacollegeofengineering.ac.in,Self Finance,Engineering,Electrical,Electronics and Communication Engineering,Tiruchirappalli,TC,TN Central,Tamil Nadu
4101,Sureya College of Engineering,"Somu Nagar, Konalai, Tiruchirapalli(Dt.),Pin621132",11,78.77,www.sureyacollegeofengineering.ac.in,Self Finance,Engineering,Mechanical,Mechanical Engineering,Tiruchirappalli,TC,TN Central,Tamil Nadu
4102,Surya Engineering College,"Perundurai Road,Mettukadai, Erode(Dt.),Pin638107",11.3,77.64,www.surya.ac.in,Self Finance,Engineering,Civil,Civil Engineering,Erode,ER,TN West,Tamil Nadu
4103,Surya Engineering College,"Perundurai Road,Mettukadai, Erode(Dt.),Pin638107",11.3,77.64,www.surya.ac.in,Self Finance,Engineering,Computer Science,Computer Science and Engineering,Erode,ER,TN West,Tamil Nadu
4104,Surya Engineering College,"Perundurai Road,Mettukadai, Erode(Dt.),Pin638107",11.3,77.64,www.surya.ac.in,Self Finance,Engineering,Electrical,Electronics and Communication Engineering,Erode,ER,TN West,Tamil Nadu
4105,Surya Engineering College,"Perundurai Road,Mettukadai, Erode(Dt.),Pin638107",11.3,77.64,www.surya.ac.in,Self Finance,Engineering,Electrical,Electrical and Electronics Engineering,Erode,ER,TN West,Tamil Nadu
4106,Surya Engineering College,"Perundurai Road,Mettukadai, Erode(Dt.),Pin638107",11.3,77.64,www.surya.ac.in,Self Finance,Engineering,Mechanical,Mechanical Engineering,Erode,ER,TN West,Tamil Nadu
4107,Surya Group of Institutions,"NH - 45, GST Road, Vikiravandi, Villupuram(Dt.),Pin 605652",12.1,79.55,www.suryagroup.edu.in,Self Finance,Engineering,Civil,Civil Engineering,Viluppuram,VL,TN Central,Tamil Nadu
4108,Surya Group of Institutions,"NH - 45, GST Road, Vikiravandi, Villupuram(Dt.),Pin 605652",12.1,79.55,www.suryagroup.edu.in,Self Finance,Engineering,Computer Science,Computer Science and Engineering,Viluppuram,VL,TN Central,Tamil Nadu
